=====================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 23/09/26
=====================================================================================================

FECHA_BOLETIN  ACCION     TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT   VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ---------  ----  -----------------  ------  -----  -----------------  ----------------
23/09/26       SANTANDER  CALL  Mar-27             13,00   12.61  25.000             30.105          
23/09/26       SANTANDER  PUT   Jun-27             12,00   12.61  5.000              10.025          
23/09/26       IBERDROLA  PUT   Mar-27             19,00   20.12  5.000              5.011           
23/09/26       SANTANDER  CALL  Jun-27             14,00   12.61  5.000              5.001           
23/09/26       BBVA       PUT   Sep-27             22,00   24.88  2.500              2.501           
23/09/26       BBVA       PUT   Sep-27             20,00   24.88  2.000              2.075           
23/09/26       BBVA       PUT   Jun-28             15,00   24.88  2.000              2.000           
23/09/26       SANTANDER  PUT   Sep-27             12,50   12.61  1.500              1.500           
23/09/26       IBERDROLA  PUT   Sep-27             19,50   20.12  1.500              1.550           
23/09/26       SANTANDER  CALL  Sep-27             12,50   12.61  1.500              1.500           
-------------  ---------  ----  -----------------  ------  -----  -----------------  ----------------
Generado: 24/09/2026 08:06
