=========================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 11/08/26
=========================================================================================================

FECHA_BOLETIN  ACCION        TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT    VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ------------  ----  -----------------  ------  ------  -----------------  ----------------
11/08/26       BBVA          CALL  Jun-27             25,00   24.80   403                969             
11/08/26       TELEFONICA    PUT   Jun-27             3,80    3.67    200                4.566           
11/08/26       REPSOL        PUT   Sep-26             23,00   26.42   200                200             
11/08/26       REPSOL        PUT   Sep-26             22,00   26.42   200                1.105           
11/08/26       REPSOL        CALL  Sep-26             28,00   26.42   105                149             
11/08/26       BBVA          CALL  Sep-26             27,00   24.80   60                 60              
11/08/26       BBVA          PUT   Oct-26             23,00   24.80   50                 51              
11/08/26       IAG           CALL  Ago-26             5,50    5.15    50                 96              
11/08/26       SANTANDER     CALL  Sep-26             13,50   12.85   50                 721             
11/08/26       MINI IBEX-35  PUT   Sep-26             20.300  20,214  44                 109             
-------------  ------------  ----  -----------------  ------  ------  -----------------  ----------------
Generado: 12/08/2026 04:44
