=====================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 24/08/26
=====================================================================================================

FECHA_BOLETIN  ACCION     TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT   VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ---------  ----  -----------------  ------  -----  -----------------  ----------------
24/08/26       BBVA       CALL  Sep-26             26,00   25.07  1.001              1.180           
24/08/26       BBVA       PUT   Dic-26             22,00   25.07  1.000              1.003           
24/08/26       IAG        CALL  Mar-27             4,80    5.05   150                152             
24/08/26       IAG        PUT   Oct-26             4,20    5.05   150                150             
24/08/26       INDITEX    PUT   Mar-27             52,25   58.42  100                100             
24/08/26       REPSOL     PUT   Dic-26             23,00   27.09  100                136             
24/08/26       CAIXABANK  CALL  Sep-26             13,00   13.27  82                 104             
24/08/26       ENAGAS     CALL  Dic-26             17,50   16.78  50                 50              
24/08/26       IAG        CALL  Sep-26             5,10    5.05   50                 50              
24/08/26       REPSOL     PUT   Sep-26             25,00   27.09  40                 413             
-------------  ---------  ----  -----------------  ------  -----  -----------------  ----------------
Generado: 25/08/2026 03:44
