======================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 12/08/26
======================================================================================================

FECHA_BOLETIN  ACCION      TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT   VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ----------  ----  -----------------  ------  -----  -----------------  ----------------
12/08/26       TELEFONICA  PUT   Sep-26             4,00    3.64   10.075             10              
12/08/26       IBERDROLA   PUT   Jun-27             20,00   20.60  4.000              11.513          
12/08/26       SOLARIA     PUT   Oct-26             15,00   16.61  4.000              4.000           
12/08/26       BBVA        PUT   Sep-26             22,00   24.80  250                255             
12/08/26       IAG         CALL  Dic-26             5,25    5.17   200                771             
12/08/26       IAG         CALL  Mar-27             5,50    5.17   200                200             
12/08/26       NATURGY     PUT   Sep-26             24,00   28.94  150                210             
12/08/26       AMADEUS     PUT   Sep-26             45,00   57.26  120                109             
12/08/26       GRIFOLS     CALL  Dic-27             12,50   10.08  100                100             
12/08/26       GRIFOLS     CALL  Dic-27             12,00   10.08  100                100             
-------------  ----------  ----  -----------------  ------  -----  -----------------  ----------------
Generado: 13/08/2026 04:48
