=====================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 13/08/26
=====================================================================================================

FECHA_BOLETIN  ACCION     TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT   VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ---------  ----  -----------------  ------  -----  -----------------  ----------------
13/08/26       SANTANDER  CALL  Ago-26             13,00   12.89  4.590              4.614           
13/08/26       SANTANDER  CALL  Ago-26             12,50   12.89  2.295              2.362           
13/08/26       SANTANDER  PUT   Jun-27             10,00   12.89  2.000              10.005          
13/08/26       INDRA      CALL  Dic-26             60,00   64.38  438                196             
13/08/26       SANTANDER  PUT   Jun-27             12,50   12.89  350                365             
13/08/26       SANTANDER  PUT   Ago-26             12,00   12.89  225                8               
13/08/26       IAG        CALL  Sep-26             4,90    5.18   200                223             
13/08/26       BBVA       CALL  Jun-27             25,00   24.91  158                1.207           
13/08/26       SANTANDER  CALL  Jun-27             13,50   12.89  153                157             
13/08/26       IAG        CALL  Dic-26             5,25    5.18   100                671             
-------------  ---------  ----  -----------------  ------  -----  -----------------  ----------------
Generado: 14/08/2026 04:45
