=====================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 14/08/26
=====================================================================================================

FECHA_BOLETIN  ACCION     TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT   VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ---------  ----  -----------------  ------  -----  -----------------  ----------------
14/08/26       AMADEUS    CALL  Oct-26             64,00   57.40  1.300              1.300           
14/08/26       REPSOL     CALL  Mar-28             33,00   26.79  1.000              1.800           
14/08/26       BBVA       CALL  Jun-27             25,00   24.95  316                1.523           
14/08/26       SANTANDER  PUT   Sep-26             12,50   12.90  200                200             
14/08/26       SANTANDER  CALL  Jun-27             13,00   12.90  155                185             
14/08/26       BBVA       CALL  Oct-26             27,00   24.95  50                 50              
14/08/26       GRIFOLS    CALL  Dic-27             12,00   9.86   50                 150             
14/08/26       CELLNEX    PUT   Dic-26             26,00   27.64  50                 152             
14/08/26       IBERDROLA  CALL  Sep-27             19,50   20.20  38                 100             
14/08/26       BBVA       PUT   Sep-26             23,00   24.95  30                 10              
-------------  ---------  ----  -----------------  ------  -----  -----------------  ----------------
Generado: 16/08/2026 03:43
