=========================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 31/08/26
=========================================================================================================

FECHA_BOLETIN  ACCION        TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT    VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ------------  ----  -----------------  ------  ------  -----------------  ----------------
31/08/26       SANTANDER     CALL  Dic-26             13,00   12.66   6.000              16.015          
31/08/26       IBERDROLA     CALL  Oct-26             20,50   20.08   5.000              5.001           
31/08/26       IAG           CALL  Sep-26             4,90    5.01    210                202             
31/08/26       ENDESA        CALL  Jun-27             56,00   42.10   155                410             
31/08/26       REPSOL        PUT   Sep-26             27,00   27.25   151                302             
31/08/26       IAG           CALL  Mar-27             6,50    5.01    150                150             
31/08/26       SANTANDER     CALL  Dic-26             14,00   12.66   103                112             
31/08/26       CAIXABANK     PUT   Sep-26             12,50   13.16   100                108             
31/08/26       REPSOL        CALL  Sep-26             28,00   27.25   100                297             
31/08/26       MINI IBEX-35  PUT   Sep-26             19.600  19,974  76                 80              
-------------  ------------  ----  -----------------  ------  ------  -----------------  ----------------
Generado: 01/09/2026 08:15
