===========================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 14/07/26
===========================================================================================================

FECHA_BOLETIN  ACCION           TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT   VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ---------------  ----  -----------------  ------  -----  -----------------  ----------------
14/07/26       BBVA             PUT   Dic-26             19,00   22.57  6.000              13.512          
14/07/26       BBVA             PUT   Dic-26             21,00   22.57  6.000              9.140           
14/07/26       SANTANDER        PUT   Jun-27             12,00   11.98  5.000              5.000           
14/07/26       SANTANDER        CALL  Jun-27             12,00   11.98  5.000              5.000           
14/07/26       SANTANDER        PUT   Dic-27             6,00    11.98  5.000              5.150           
14/07/26       SANTANDER        CALL  Jun-27             15,00   11.98  2.340              900             
14/07/26       OBRASCON HUARTE  CALL  Jun-27             0,35    0.44   1.000              1.000           
14/07/26       ENDESA           CALL  Mar-28             47,00   39.54  670                795             
14/07/26       SANTANDER        PUT   Dic-26             11,00   11.98  650                1.156           
14/07/26       LABORAT. ROVI    PUT   Sep-26             76,00   53.65  400                6               
-------------  ---------------  ----  -----------------  ------  -----  -----------------  ----------------
Generado: 15/07/2026 05:26
