======================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 27/07/26
======================================================================================================

FECHA_BOLETIN  ACCION      TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT   VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ----------  ----  -----------------  ------  -----  -----------------  ----------------
27/07/26       BBVA        PUT   Sep-26             18,00   23.20  7.000              7.070           
27/07/26       BBVA        PUT   Ago-26             22,00   23.20  3.001              8.011           
27/07/26       REPSOL      PUT   Mar-27             20,00   25.54  200                200             
27/07/26       SANTANDER   CALL  Ago-26             13,00   12.26  200                261             
27/07/26       REPSOL      CALL  Dic-26             26,00   25.54  168                1.185           
27/07/26       REPSOL      CALL  Sep-26             25,00   25.54  151                534             
27/07/26       TELEFONICA  CALL  Jun-28             4,70    3.66   150                150             
27/07/26       TELEFONICA  CALL  Mar-27             3,70    3.66   150                158             
27/07/26       TELEFONICA  CALL  Jun-28             4,60    3.66   150                150             
27/07/26       INDRA       CALL  Ago-26             56,00   56.06  130                138             
-------------  ----------  ----  -----------------  ------  -----  -----------------  ----------------
Generado: 28/07/2026 05:43
