=========================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 07/08/26
=========================================================================================================

FECHA_BOLETIN  ACCION        TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT    VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ------------  ----  -----------------  ------  ------  -----------------  ----------------
07/08/26       SANTANDER     PUT   Mar-27             11,00   12.86   9.521              9.547           
07/08/26       BBVA          CALL  Mar-27             16,00   24.60   1.000              905             
07/08/26       TELEFONICA    CALL  Dic-26             3,70    3.67    400                1.958           
07/08/26       MINI IBEX-35  PUT   Ago-26             20.000  20,176  104                158             
07/08/26       MINI IBEX-35  PUT   Ago-26             20.200  20,176  101                102             
07/08/26       BBVA          CALL  Sep-26             27,00   24.60   100                100             
07/08/26       INDITEX       PUT   Dic-26             42,57   58.66   100                120             
07/08/26       BBVA          PUT   Sep-26             23,00   24.60   100                451             
07/08/26       MINI IBEX-35  PUT   Ago-26             20.050  20,176  100                108             
07/08/26       ENDESA        CALL  Jun-27             56,00   42.24   100                105             
-------------  ------------  ----  -----------------  ------  ------  -----------------  ----------------
Generado: 09/08/2026 04:15
