======================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 05/08/26
======================================================================================================

FECHA_BOLETIN  ACCION      TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT   VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ----------  ----  -----------------  ------  -----  -----------------  ----------------
05/08/26       SANTANDER   CALL  Oct-26             14,00   12.76  38.947             38.947          
05/08/26       IBERDROLA   CALL  Oct-26             22,00   20.58  12.287             12.287          
05/08/26       INDITEX     CALL  Oct-26             61,30   58.50  5.945              5.945           
05/08/26       REPSOL      PUT   Jun-28             20,00   25.35  3.000              3.000           
05/08/26       TELEFONICA  CALL  Dic-26             3,70    3.61   1.010              1.239           
05/08/26       SANTANDER   PUT   Dic-26             14,00   12.76  1.000              1.112           
05/08/26       TELEFONICA  PUT   Sep-26             4,10    3.61   757                15              
05/08/26       BBVA        CALL  Jun-27             25,00   24.29  243                248             
05/08/26       SANTANDER   PUT   Dic-29             10,50   12.76  200                100             
05/08/26       SANTANDER   PUT   Dic-30             13,00   12.76  185                185             
-------------  ----------  ----  -----------------  ------  -----  -----------------  ----------------
Generado: 06/08/2026 05:44
