=========================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 17/08/26
=========================================================================================================

FECHA_BOLETIN  ACCION        TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT    VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ------------  ----  -----------------  ------  ------  -----------------  ----------------
17/08/26       SANTANDER     PUT   Mar-27             13,00   12.69   14.500             14.500          
17/08/26       SANTANDER     CALL  Mar-27             13,00   12.69   5.000              5.105           
17/08/26       BBVA          PUT   Mar-27             23,00   24.84   3.000              3.050           
17/08/26       SANTANDER     PUT   Sep-26             12,00   12.69   700                921             
17/08/26       INDRA         PUT   Sep-26             50,00   64.30   500                500             
17/08/26       SANTANDER     CALL  Jun-27             13,00   12.69   469                624             
17/08/26       FERROVIAL     CALL  Sep-26             62,00   55.02   452                452             
17/08/26       ACERINOX      PUT   Sep-28             18,00   18.04   138                138             
17/08/26       MINI IBEX-35  PUT   Ago-26             19.600  19,982  120                138             
17/08/26       REPSOL        CALL  Sep-26             28,00   27.06   103                239             
-------------  ------------  ----  -----------------  ------  ------  -----------------  ----------------
Generado: 18/08/2026 03:41
