=====================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 24/09/26
=====================================================================================================

FECHA_BOLETIN  ACCION     TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT   VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ---------  ----  -----------------  ------  -----  -----------------  ----------------
24/09/26       SANTANDER  PUT   Oct-26             12,00   12.53  10.000             10.017          
24/09/26       BBVA       PUT   Dic-26             23,00   24.88  2.000              601             
24/09/26       REPSOL     PUT   Dic-27             22,00   31.54  2.000              2.020           
24/09/26       BBVA       CALL  Dic-26             23,00   24.88  2.000              211             
24/09/26       REPSOL     CALL  Dic-26             32,00   31.54  1.567              1.575           
24/09/26       CAIXABANK  PUT   Nov-26             11,00   12.90  500                500             
24/09/26       CAIXABANK  PUT   Nov-26             12,00   12.90  500                500             
24/09/26       SANTANDER  PUT   Oct-26             12,50   12.53  301                373             
24/09/26       REPSOL     CALL  Dic-26             38,00   31.54  163                153             
24/09/26       REPSOL     CALL  Oct-26             33,00   31.54  161                167             
-------------  ---------  ----  -----------------  ------  -----  -----------------  ----------------
Generado: 25/09/2026 08:29
