=========================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 04/08/26
=========================================================================================================

FECHA_BOLETIN  ACCION        TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT    VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ------------  ----  -----------------  ------  ------  -----------------  ----------------
04/08/26       REPSOL        PUT   Sep-26             18,00   25.74   15.000             15.360          
04/08/26       SANTANDER     CALL  Dic-26             13,00   12.64   10.000             15.000          
04/08/26       MINI IBEX-35  CALL  Dic-26             21.000  20,024  5.188              5.193           
04/08/26       TELEFONICA    CALL  Dic-27             4,60    3.66    4.000              4.001           
04/08/26       IBERDROLA     CALL  Dic-27             25,00   20.57   2.000              2.002           
04/08/26       IBERDROLA     PUT   Dic-27             21,00   20.57   1.250              1.250           
04/08/26       IBERDROLA     CALL  Dic-27             21,00   20.57   1.250              7.260           
04/08/26       BANKINTER     PUT   Jun-27             13,50   16.03   1.000              1.000           
04/08/26       BANKINTER     PUT   Mar-27             13,50   16.03   1.000              1.008           
04/08/26       SANTANDER     PUT   Dic-26             14,00   12.64   1.000              1.003           
-------------  ------------  ----  -----------------  ------  ------  -----------------  ----------------
Generado: 05/08/2026 05:42
