=====================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 04/09/26
=====================================================================================================

FECHA_BOLETIN  ACCION     TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT   VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ---------  ----  -----------------  ------  -----  -----------------  ----------------
04/09/26       BBVA       PUT   Mar-27             22,00   25.39  12.500             12.645          
04/09/26       REPSOL     CALL  Oct-26             29,00   27.74  5.000              5.002           
04/09/26       SANTANDER  PUT   Jun-27             10,50   12.87  4.000              9.104           
04/09/26       GRIFOLS    PUT   Jun-27             10,00   9.89   700                848             
04/09/26       GRIFOLS    PUT   Dic-26             10,00   9.89   550                1.722           
04/09/26       GRIFOLS    CALL  Jun-27             12,50   9.89   403                658             
04/09/26       SANTANDER  PUT   Sep-26             11,50   12.87  251                25.377          
04/09/26       REPSOL     CALL  Dic-26             28,00   27.74  250                325             
04/09/26       BBVA       PUT   Sep-26             21,00   25.39  151                3.167           
04/09/26       BBVA       CALL  Mar-27             26,00   25.39  150                500             
-------------  ---------  ----  -----------------  ------  -----  -----------------  ----------------
Generado: 05/09/2026 07:20
