======================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 25/08/26
======================================================================================================

FECHA_BOLETIN  ACCION      TIPO  FECHA_VENCIMIENTO  STRIKE  SPOT   VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ----------  ----  -----------------  ------  -----  -----------------  ----------------
25/08/26       BBVA        PUT   Mar-27             23,00   24.69  5.000              8.050           
25/08/26       AMADEUS     CALL  Nov-26             64,00   57.50  443                443             
25/08/26       AMADEUS     CALL  Nov-26             66,00   57.50  443                443             
25/08/26       SANTANDER   PUT   Sep-26             12,50   12.58  300                328             
25/08/26       REPSOL      PUT   Sep-26             26,00   26.92  107                160             
25/08/26       SANTANDER   CALL  Mar-27             14,50   12.58  100                100             
25/08/26       TELEFONICA  CALL  Oct-26             3,80    3.68   50                 50              
25/08/26       BBVA        PUT   Oct-26             23,00   24.69  50                 101             
25/08/26       GRIFOLS     CALL  Jun-27             10,00   10.05  45                 66              
25/08/26       GRIFOLS     PUT   Jun-27             10,00   10.05  45                 47              
-------------  ----------  ----  -----------------  ------  -----  -----------------  ----------------
Generado: 26/08/2026 03:50
